bd_swab_id,detected,average_ct,average_target_quant,total_qpcr_volume_uL,qpcr_dilution_factor,volume_template_dna_uL,extract_volume_uL,target_quant_per_swab,average_its1_copies_per_swab,standard_target_type,standard,master_mix,result,replicate,qpcr_machine,extraction_kit,extraction_date,qpcr_date,qpcr_lab,extract_lab,swab_type,comments,site,region,location
3447,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-23T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_water,santa_virginia,brazil
3448,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-23T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_water,santa_virginia,brazil
3449,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_water,santa_virginia,brazil
3450,1,30.94,34003.74756,25,1,5,200,1360149.9024000005,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_water,santa_virginia,brazil
3451,1,34.192,6140.421677,25,1,5,200,245616.86708,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_water,santa_virginia,brazil
3452,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_water,santa_virginia,brazil
3453,1,32.821,13136.3266,25,1,5,200,525453.064,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_water,santa_virginia,brazil
3454,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3455,1,34.521,4728.678513,25,1,5,200,189147.14052,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-23T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3456,1,30.731,59054.96826,25,1,5,200,2362198.7304,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-23T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3457,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3458,1,18.72,203140787.5,25,1,5,200,8125631500,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3459,1,23.636,5346940.234,25,1,5,200,213877609.36,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3460,1,25.661,1905560.156,25,1,5,200,76222406.24,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3461,1,25.198,2601882.227,25,1,5,200,104075289.08,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3462,1,25.827,1011672.07,25,1,5,200,40466882.8,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3463,1,30.143,114667.9321,25,1,5,200,4586717.284,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3464,1,27.981,462230.1758,25,1,5,200,18489207.032,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3465,1,29.506,172945.8862,25,1,5,200,6917835.448000001,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3466,1,27.484,513581.6406,25,1,5,200,20543265.624,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-23T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3468,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,1_land,santa_virginia,brazil
3469,1,40.492,100.0353932,25,1,5,200,4001.415728,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,2_water,santa_virginia,brazil
3470,0,NA,0,25,1,5,200,0,NA,ITS1,plasmid-pisces,taqman,n,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-28T00:00:00Z,becker_lab,becker_lab,mw113,NA,2_water,santa_virginia,brazil
3471,1,31.595,40069.51904,25,1,5,200,1602780.7616,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,NA,becker_lab,becker_lab,mw113,NA,2_water,santa_virginia,brazil
3472,1,37.361,1090.215874,25,1,5,200,43608.63496,NA,ITS1,plasmid-pisces,taqman,p,singley,quantstudio_3,ibi_spin_column_blood_tissue_kit,2023-03-02T00:00:00Z,2023-03-23T00:00:00Z,becker_lab,becker_lab,mw113,NA,2_water,santa_virginia,brazil
