species,bd_status,bd_amount,time_of_capture,date_of_capture,body_temp_c,microhabitat_type,microhabitat_temp,body_length_mm,body_mass_g,life_stage,sex,air_temp_c,water_temp_c,pH,total_dissolved_solids
lithobates_sylvaticus,0,0,18:47:00,2017-03-06,7.9,water,7.5,46.2,9,adult,unknown,9.2,NA,NA,NA
ambystoma_maculatum,0,0,22:55:00,2017-03-06,5.8,leaf litter,7,74.7,21.4,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:07:00,2017-03-06,5.5,leaf litter,4.8,59.1,10,adult,m,9.2,NA,NA,NA
ambystoma_maculatum,1,2.0420773029999997,22:39:00,2017-03-06,5.3,water,5.2,80.5,24.6,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:09:00,2017-03-06,5.7,water,5.5,48.6,9.5,adult,unknown,9.2,NA,NA,NA
ambystoma_maculatum,0,0,21:38:00,2017-03-06,6.2,water,6.2,70.6,16.1,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:34:00,2017-03-06,7.1,water,6.4,46.1,11.8,adult,unknown,9.2,NA,NA,NA
ambystoma_maculatum,0,0,22:13:00,2017-03-06,9.3,water,9.2,70.8,14.2,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,1,88.51385498000002,19:45:00,2017-03-06,7.1,water,6.4,45.9,9.4,adult,unknown,9.2,NA,NA,NA
ambystoma_maculatum,0,0,22:47:00,2017-03-06,8.9,water,8.9,69,15.3,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:47:00,2017-03-06,6.7,under log,5.8,49.7,11.4,adult,unknown,9.2,NA,NA,NA
notophthalmus_viridescens,1,31.75932503,22:02:00,2017-03-06,9.3,water,9.2,33.4,3.1,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:28:00,2017-03-06,4.6,leaf litter,4.6,43.3,11,adult,f,9.2,NA,NA,NA
notophthalmus_viridescens,1,597.8235473999999,21:51:00,2017-03-06,9,water,8.5,36,2.6,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:34:00,2017-03-06,2.9,water,2.9,47.8,8.4,adult,m,9.2,NA,NA,NA
notophthalmus_viridescens,1,5.2234067920000005,21:45:00,2017-03-06,9.3,water,9,36.8,2.7,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:11:00,2017-03-06,5.4,leaf litter,5.3,44.6,8.7,adult,f,9.2,NA,NA,NA
notophthalmus_viridescens,1,11.480271339999998,23:13:00,2017-03-06,6.7,water,6.1,35.1,2.8,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:47:00,2017-03-06,1.9,water,1.5,50.4,11.5,adult,f,9.2,NA,NA,NA
notophthalmus_viridescens,1,761.6810913,21:45:00,2017-03-06,6.7,water,6.1,39,2.6,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:35:00,2017-03-06,7.5,water,6.4,50.5,10.6,adult,m,9.2,NA,NA,NA
pseudacris_crucifer,0,0,23:13:00,2017-03-06,9.3,water,9.1,27.3,2,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:54:00,2017-03-06,7,water,6.9,44.8,9.5,adult,m,9.2,NA,NA,NA
pseudacris_crucifer,0,0,21:52:00,2017-03-06,8.3,on tree/log/bush below 1 m,8.2,28.3,1.6,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:34:00,2017-03-06,6.4,water,6.5,44,9,adult,m,9.2,NA,NA,NA
pseudacris_crucifer,0,0,21:56:00,2017-03-06,7.1,on tree/log/bush below 1 m,7.1,26.4,1.6,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:54:00,2017-03-06,8.7,leaf litter,9,49.1,8,adult,unknown,9.2,NA,NA,NA
pseudacris_crucifer,0,0,22:43:00,2017-03-06,6.5,on tree/log/bush below 1 m,6.5,23.2,1.5,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:32:00,2017-03-06,8.6,water,7,49.7,11.5,adult,m,9.2,NA,NA,NA
pseudacris_crucifer,0,0,22:33:00,2017-03-06,6,water,5.2,25.2,1.9,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:25:00,2017-03-06,5.5,leaf litter,5.9,44,9.8,adult,f,9.2,NA,NA,NA
pseudacris_crucifer,0,0,22:26:00,2017-03-06,8.1,water,8.6,26.1,1.7,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:36:00,2017-03-06,4.4,leaf litter,4.9,54.5,20,adult,f,9.2,NA,NA,NA
lithobates_sylvaticus,1,2.169376373,22:19:00,2017-03-06,4.4,water,4.3,54.1,16,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:31:00,2017-03-06,3.2,water,3.1,50.2,11.6,adult,unknown,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,22:29:00,2017-03-06,5.3,water,5.2,61.4,25.7,adult,f,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:00:00,2017-03-06,4.2,water,3.8,47.2,9,adult,unknown,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,22:24:00,2017-03-06,6,water,5.8,54.6,14.7,unknown,unknown,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:36:00,2017-03-06,2.9,water,3.9,48.5,11.5,adult,unknown,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,22:16:00,2017-03-06,5.1,water,4.9,56.7,18.1,adult,f,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:41:00,2017-03-06,6.5,water,6.1,44.8,8.4,adult,unknown,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,22:13:00,2017-03-06,5,water,5,50,13.1,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:41:00,2017-03-06,3.7,water,3.4,43.1,10.6,adult,unknown,9.2,NA,NA,NA
ambystoma_maculatum,0,0,23:05:00,2017-03-06,5.3,water,5.3,70.7,14.1,adult,m,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,18:58:00,2017-03-06,4,water,3.5,50.9,11.3,adult,unknown,9.2,NA,NA,NA
lithobates_sylvaticus,0,0,19:31:00,2017-03-06,2.5,water,3.8,39.5,6.4,adult,unknown,9.2,NA,NA,NA
pseudacris_crucifer,0,0,20:05:00,2017-03-06,10.5,leaf litter,8.4,25,1.7,adult,unknown,9.2,NA,NA,NA
plethodon_cinereus,0,0,12:21:00,2017-03-07,8.1,under cover board,8.2,28.3,1.2,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:10:00,2017-03-07,9.8,under cover board,8,31.6,0.2,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:10:00,2017-03-07,9.6,under cover board,8,28,0.7,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,11:56:00,2017-03-07,7.6,under log,7.4,20,0.7,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,11:52:00,2017-03-07,8.9,under log,8.8,27.7,0.2,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:04:00,2017-03-07,11.5,under cover board,11.5,41,1,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,11:55:00,2017-03-07,10,under log,9.9,39.9,0.3,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,11:56:00,2017-03-07,10.7,under log,10.9,39,0.4,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:52:00,2017-03-07,8.6,other,8.6,19,0.2,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:30:00,2017-03-07,11.4,under log,11.4,38.2,1.8,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:27:00,2017-03-07,10.9,under log,10.6,34.2,0.6,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:34:00,2017-03-07,8.8,under cover board,9,33.8,1,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:44:00,2017-03-07,9.3,under log,9.3,18.2,0.6,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,0,0,12:35:00,2017-03-07,9.9,under log,10,17.4,NA,unknown,unknown,11.9,NA,NA,NA
desmognathus_fuscus,0,0,13:07:00,2017-03-07,8.7,under log,8.7,36.9,2.2,unknown,unknown,11.9,NA,NA,NA
plethodon_cinereus,1,2.9860088829999993,19:00:00,2017-03-07,6.5,leaf litter,6.5,41.6,1.6,unknown,unknown,5.5,NA,NA,NA
plethodon_cinereus,0,0,18:50:00,2017-03-07,8.2,leaf litter,8.4,32.7,0.9,unknown,unknown,5.5,NA,NA,NA
rana_clamitans,1,40.42285919,19:06:00,2017-03-07,7.6,water,7.6,76.9,50.5,adult,m,5.5,NA,NA,NA
rana_clamitans,1,2.0743021969999997,18:27:00,2017-03-07,6.7,water,6.6,44.4,8,juvenile,unknown,5.5,NA,NA,NA
rana_catesbeiana,1,15486.39453,18:14:00,2017-03-07,8.5,water,8.8,64.2,19.3,unknown,unknown,5.5,NA,NA,NA
rana_catesbeiana,1,1.974084973,20:19:00,2017-03-07,7.3,water,7.3,64.1,24,unknown,unknown,6.2,NA,NA,NA
rana_catesbeiana,1,3886.117188,20:30:00,2017-03-07,8.4,water,8.3,58.2,20.4,unknown,unknown,6.2,NA,NA,NA
rana_catesbeiana,1,646.7861938,20:26:00,2017-03-07,8.4,water,9.5,54.3,13.2,juvenile,unknown,6.2,NA,NA,NA
rana_catesbeiana,1,284.49285889999993,20:40:00,2017-03-07,5.8,leaf litter,8.5,83,52.9,unknown,unknown,6.2,NA,NA,NA
rana_clamitans,1,3.2346780299999995,20:32:00,2017-03-07,7.9,water,8.4,49.5,12.1,juvenile,unknown,6.2,NA,NA,NA
rana_clamitans,1,4.413605690000001,20:27:00,2017-03-07,7,water,7.1,62.3,21.9,juvenile,unknown,6.2,NA,NA,NA
rana_clamitans,0,0,20:32:00,2017-03-07,5.8,mud,5.9,64.4,35.3,juvenile,unknown,6.2,NA,NA,NA
rana_clamitans,1,11.54914665,20:23:00,2017-03-07,8.5,water,9.5,56.9,14,juvenile,unknown,6.2,NA,NA,NA
rana_clamitans,0,0,20:32:00,2017-03-07,7.9,water,8.4,58.2,19.4,unknown,unknown,6.2,NA,NA,NA
rana_clamitans,1,2.1990280149999997,20:40:00,2017-03-07,8.1,water,8.6,51.5,12.9,unknown,unknown,6.2,NA,NA,NA
rana_clamitans,1,79.25656891,20:23:00,2017-03-07,6.6,water,6.8,63.5,23.4,adult,m,6.2,NA,NA,NA
rana_clamitans,1,7.666974067999998,20:34:00,2017-03-07,4.9,water,4.7,58.4,21,unknown,unknown,6.2,NA,NA,NA
rana_clamitans,1,82.69654082999999,20:36:00,2017-03-07,8.9,water,9.7,63.8,24.3,unknown,unknown,6.2,NA,NA,NA
rana_pipiens,0,0,21:52:00,2017-03-24,12,water,NA,60.5,19,adult,m,13.3,NA,NA,NA
rana_pipiens,1,51.02848816,21:47:00,2017-03-24,12.2,water,NA,64.2,26.5,adult,m,13.3,NA,NA,NA
rana_pipiens,1,66.97681427,21:51:00,2017-03-24,11.9,water,NA,62.4,NA,adult,f,13.3,NA,NA,NA
pseudacris_crucifer,0,0,21:11:00,2017-03-24,10.2,NA,NA,23,1.5,unknown,unknown,13.3,NA,NA,NA
pseudacris_crucifer,0,0,21:35:00,2017-03-24,12,NA,NA,26.5,1.1,adult,m,13.3,NA,NA,NA
pseudacris_crucifer,0,0,21:55:00,2017-03-24,12.5,water,NA,25,1.1,adult,m,13.3,NA,NA,NA
pseudacris_crucifer,0,0,22:00:00,2017-03-24,11.8,NA,NA,24.5,1.1,unknown,unknown,13.3,NA,NA,NA
